aluno [ ~/environment/config/azure-cluster ]$ az vm list-skus --location southcentralus --size Standard_D --all --output table
ResourceType     Locations       Name                    Zones    Restrictions
virtualMachines  southcentralus  Standard_D16_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D1_v2          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2             2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D2ads_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2ads_v6       1,2      None
virtualMachines  southcentralus  Standard_D2alds_v6      1,2      None
virtualMachines  southcentralus  Standard_D2als_v6       1,2      None
virtualMachines  southcentralus  Standard_D2as_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2as_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2as_v6        1,2      None
virtualMachines  southcentralus  Standard_D2a_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D2ds_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
