aluno [ ~/environment/config/azure-cluster ]$ az vm list-skus --location southcentralus --size Standard_D --all --output table
ResourceType     Locations       Name                    Zones    Restrictions
virtualMachines  southcentralus  Standard_D64a_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64ds_v4       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64ds_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D64d_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64lds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64lds_v6      1,2,3    None
virtualMachines  southcentralus  Standard_D64ls_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64ls_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D64pds_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D64pds_v6      1,2      None
virtualMachines  southcentralus  Standard_D64plds_v5     1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D64plds_v6     1,2      None
virtualMachines  southcentralus  Standard_D64pls_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D64pls_v6      1,2      None
virtualMachines  southcentralus  Standard_D64ps_v5       1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D64ps_v6       1,2      None
virtualMachines  southcentralus  Standard_D64s_v3        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64s_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64s_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D64_v3         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D64_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8ads_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8ads_v6       1,2      None
virtualMachines  southcentralus  Standard_D8alds_v6      1,2      None
virtualMachines  southcentralus  Standard_D8als_v6       1,2      None
virtualMachines  southcentralus  Standard_D8as_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8as_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8as_v6        1,2      None
virtualMachines  southcentralus  Standard_D8a_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8ds_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8ds_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8ds_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D8d_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8d_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8lds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8lds_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D8ls_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8ls_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D8pds_v5       1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D8pds_v6       1,2      None
virtualMachines  southcentralus  Standard_D8plds_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D8plds_v6      1,2      None
virtualMachines  southcentralus  Standard_D8pls_v5       1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D8pls_v6       1,2      None
virtualMachines  southcentralus  Standard_D8ps_v5        1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D8ps_v6        1,2      None
virtualMachines  southcentralus  Standard_D8s_v3         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8s_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8s_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8s_v6         1,2,3    None
virtualMachines  southcentralus  Standard_D8_v3          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8_v4          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D8_v5          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96ads_v6      1,2      None
virtualMachines  southcentralus  Standard_D96alds_v6     1,2      None
virtualMachines  southcentralus  Standard_D96als_v6      1,2      None
virtualMachines  southcentralus  Standard_D96as_v4       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96as_v6       1,2      None
virtualMachines  southcentralus  Standard_D96a_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96ds_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D96d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96lds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96lds_v6      1,2,3    None
virtualMachines  southcentralus  Standard_D96ls_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96ls_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D96pds_v6      1,2      None
virtualMachines  southcentralus  Standard_D96plds_v6     1,2      None
virtualMachines  southcentralus  Standard_D96pls_v6      1,2      None
virtualMachines  southcentralus  Standard_D96ps_v6       1,2      None
virtualMachines  southcentralus  Standard_D96s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D96s_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D96_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DC16ds_v3      3        None
virtualMachines  southcentralus  Standard_DC16s_v3       3        None
virtualMachines  southcentralus  Standard_DC1ds_v3       3        None
virtualMachines  southcentralus  Standard_DC1s_v2        2        None
virtualMachines  southcentralus  Standard_DC1s_v3        3        None
virtualMachines  southcentralus  Standard_DC24ds_v3      3        None
virtualMachines  southcentralus  Standard_DC24s_v3       3        None
virtualMachines  southcentralus  Standard_DC2ds_v3       3        None
virtualMachines  southcentralus  Standard_DC2s_v2        2        None
virtualMachines  southcentralus  Standard_DC2s_v3        3        None
virtualMachines  southcentralus  Standard_DC32ds_v3      3        None
virtualMachines  southcentralus  Standard_DC32s_v3       3        None
virtualMachines  southcentralus  Standard_DC48ds_v3      3        None
virtualMachines  southcentralus  Standard_DC48s_v3       3        None
virtualMachines  southcentralus  Standard_DC4ds_v3       3        None
virtualMachines  southcentralus  Standard_DC4s_v2        2        None
virtualMachines  southcentralus  Standard_DC4s_v3        3        None
virtualMachines  southcentralus  Standard_DC8ds_v3       3        None
virtualMachines  southcentralus  Standard_DC8s_v3        3        None
virtualMachines  southcentralus  Standard_DC8_v2         2        None
virtualMachines  southcentralus  Standard_DS1            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS11           2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS11-1_v2      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS11_v2        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS11_v2_Promo  1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS12           2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS12-1_v2      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS12-2_v2      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS12_v2        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS12_v2_Promo  1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS13           2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS13-2_v2      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS13-4_v2      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS13_v2        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS13_v2_Promo  1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS14           2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS14-4_v2      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS14-8_v2      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS14_v2        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS14_v2_Promo  1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS15_v2        1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS1_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS2            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS2_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS2_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS3            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS3_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS3_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS4            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS4_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS4_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_DS5_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_DS5_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
aluno [ ~/environment/config/azure-cluster ]$ 
